id,chance,entity,entityEffect,difficulty,iconURL
Initiate1,0.5,The Deadline Demon,A project due date approaches too quickly!,1,NULL
Initiate2,0.4,The Sleep-Stealing Specter,A restless mind delays sleep!,2,NULL
Initiate3,0.5,The Wi-Fi Banshee,The internet dies before a submission!,1,NULL
Initiate4,0.35,The Multiple-Choice Menace,Two answers seem correctthou must guess blindly!,2,NULL
,,,,,
Collegiate1,0.5,The Lecture Lurker,A professor cold-calls thee when unprepared!,1,NULL
Collegiate2,0.4,The Group Project Ghoul,A teammate vanishes before the deadline!,2,NULL
Collegiate3,0.5,The Multiple-Choice Menace,Two answers seem correctthou dost guess blindly!,1,NULL
Collegiate4,0.35,The Wi-Fi Banshee,The internet dies moments before submission!,2,NULL
,,,,,
Pedagogue1,0.5,The Lesson Lurker,A pupil asks a question on a topic thou hast not planned for.,1,NULL
Pedagogue2,0.4,The Curriculum Ghoul,The textbook thou art given is too complex or too short for thy lesson.,2,NULL
Pedagogue3,0.5,The Apathy Menace,The pupils fall asleep while thou art teaching!,1,NULL
Pedagogue4,0.35,The Interactive Whiteboard Banshee,Thy prepared presentation glitches moments before the lesson begins!,2,NULL
,,,,,
Masters1,0.5,Reviewer #2’s Wrath,Even the best research is not acceptable!,1,NULL
Masters2,0.4,The Citation Phantom,A critical source disappears forever!,2,NULL
Masters3,0.5,The Midnight Panic,A brilliant idea arrivesat 3 AM!,1,NULL
Masters4,0.35,The Funding Wraith,"The proposal is praised, yet denied!",2,NULL
,,,,,
Doctoral1,0.5,Reviewer #2’s Wrath,"No matter how perfect, it is not enough!",1,NULL
Doctoral2,0.4,The Deadline Wraith,The committee pushes back thy defense date!,2,NULL
Doctoral3,0.5,The Imposter Syndrome Phantom,Doubt creeps in: art thou truly worthy of the Ph.D.?,1,NULL
Doctoral4,0.35,The Eternal Wait,Thou hast submitted a grant… and now thou shalt wait.,2,NULL
,,,,,
Sage1,0.5,Reviewer #2’s Curse,"No matter how polished thy work, it shall never be enough!",1,NULL
Sage2,0.4,The Accreditation Hydra,Institutional reviews multiply!,2,NULL
Sage3,0.5,The Scheduling Sphinx,All meetings conflict with thy research hours!,1,NULL
Sage4,0.35,The Funding Wraith,"Thy proposal is praised, yet denied funding!",2,NULL
,,,,,
randomPeril,0.5,The Impending Deadline Fiend,"Lurks ever closer, whispering doom, yet never granting thee focus.",1,NULL
randomPeril,0.5,The Footnote Gremlin,"Scrambles citations at random, forcing thee to spend precious time in correction.",1,NULL
randomPeril,0.5,The Coffee Chimera ☕,"Promises energy but delivers anxiety, jitters, and impending doom!",1,NULL
randomPeril,0.5,The Invisible Tangle Sprite 🌀,"Moves objects just slightly out of reach, making cleanup thrice as long!",1,NULL
randomPeril,0.5,The Scheduling Sphinx,Ensures all meetings are scheduled at the worst possible time.,1,NULL
randomPeril,0.5,The Disappearing Student,"Signs up for thy class, submits no work, and ghosts entirely.",1,NULL
randomPeril,0.5,The Goblin of Perpetual Fatigue 💤,Whispers sweet nothings of “Thou art too weary to engage in self-care today…”,1,NULL
randomPeril,0.5,The Sleepless Wraith,"Haunts thee with restlessness, ensuring no sleep before a deadline.",1,NULL
randomPeril,0.5,The Forgotten Meal Specter,Ensures thy stomach growls but thy hands remain too busy to eat.,1,NULL
