skillId,domainId,domain,skillName,skillAbbrv,skillDesc,dd_equiv,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20
1,1,Initiate,LEARNING,LRN,"Absorbing and recalling knowledge from lessons, readings, and practice.",Intelligence,0,20,90,220,400,650,950,"1,320","1,750","2,240","2,790","3,420","4,110","4,860","5,690","6,580","7,540","8,570","9,660","10,830"
2,1,Initiate,COMMUNICATION,COM,"Speaking clearly, participating in discussions, and asking thoughtful questions.",Charisma,0,20,90,220,400,650,950,"1,320","1,750","2,240","2,790","3,420","4,110","4,860","5,690","6,580","7,540","8,570","9,660","10,830"
3,1,Initiate,DISCIPLINE,DIS,"Developing time management, note-taking, and study habits.",Strength,0,20,90,220,400,650,950,"1,320","1,750","2,240","2,790","3,420","4,110","4,860","5,690","6,580","7,540","8,570","9,660","10,830"
4,1,Initiate,ORGANIZATION,ORG,"Managing assignments, schedules, and school-related responsibilities.",Dexterity,0,20,90,220,400,650,950,"1,320","1,750","2,240","2,790","3,420","4,110","4,860","5,690","6,580","7,540","8,570","9,660","10,830"
5,1,Initiate,STAMINA,STA,"Maintaining focus, handling stress, and persisting through long study sessions.",Constitution,0,20,90,220,400,650,950,"1,320","1,750","2,240","2,790","3,420","4,110","4,860","5,690","6,580","7,540","8,570","9,660","10,830"
6,1,Initiate,PERSEVERANCE,PRS,"Overcoming academic setbacks, late assignments, and exam stress.",Wisdom,0,20,90,220,400,650,950,"1,320","1,750","2,240","2,790","3,420","4,110","4,860","5,690","6,580","7,540","8,570","9,660","10,830"
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Collegiate,LEARNING,LRN,Ability to absorb and retain knowledge from lectures and readings.,Intelligence,0,40,190,440,810,"1,290","1,900","2,640","3,490","4,480","5,590","6,840","8,220","9,730","11,370","13,160","15,080","17,130","19,330","21,660"
2,2,Collegiate,COMMUNICATION,COM,"Skill in participating in discussions, presentations, and group projects.",Charisma,0,40,190,440,810,"1,290","1,900","2,640","3,490","4,480","5,590","6,840","8,220","9,730","11,370","13,160","15,080","17,130","19,330","21,660"
3,2,Collegiate,DISCIPLINE,DIS,Focus and time management for completing assignments and studying.,Strength,0,40,190,440,810,"1,290","1,900","2,640","3,490","4,480","5,590","6,840","8,220","9,730","11,370","13,160","15,080","17,130","19,330","21,660"
4,2,Collegiate,ORGANIZATION,ORG,"Keeping track of deadlines, schedules, and coursework.",Dexterity,0,40,190,440,810,"1,290","1,900","2,640","3,490","4,480","5,590","6,840","8,220","9,730","11,370","13,160","15,080","17,130","19,330","21,660"
