id,chance,entity,entityEffect,difficulty,iconURL
Initiate1,0.5,"Deadline Demon","A project due date approaches too quickly!",1,
Initiate2,0.4,"Sleep-Stealing Specter","A restless mind delays sleep!",2,
Initiate3,0.5,"Wi-Fi Banshee","The internet dies before a submission!",1,
Initiate4,0.35,"Multiple-Choice Menace","Two answers seem correctthou must guess blindly!",2,
Collegiate1,0.5,"Lecture Lurker","A professor cold-calls thee when unprepared!",1,
Collegiate2,0.4,"Group Project Ghoul","A teammate vanishes before the deadline!",2,
Collegiate3,0.5,"Multiple-Choice Menace","Two answers seem correctthou dost guess blindly!",1,
Collegiate4,0.35,"Wi-Fi Banshee","The internet dies moments before submission!",2,
Pedagogue1,0.5,"Lesson Lurker","A pupil asks a question on a topic thou hast not planned for.",1,
Pedagogue2,0.4,"Curriculum Ghoul","The textbook thou art given is too complex or too short for thy lesson.",2,
Pedagogue3,0.5,"Apathy Menace","The pupils fall asleep while thou art teaching!",1,
Pedagogue4,0.35,"Interactive Whiteboard Banshee","Thy prepared presentation glitches moments before the lesson begins!",2,
Masters1,0.5,"Reviewer #2’s Wrath","Even the best research is not acceptable!",1,
Masters2,0.4,"Citation Phantom","A critical source disappears forever!",2,
Masters3,0.5,"Midnight Panic","A brilliant idea arrivesat 3 AM!",1,
Masters4,0.35,"Funding Wraith","The proposal is praised, yet denied!",2,
Doctoral1,0.5,"Reviewer #2’s Wrath","No matter how perfect, it is not enough!",1,
Doctoral2,0.4,"Deadline Wraith","The committee pushes back thy defense date!",2,
Doctoral3,0.5,"Imposter Syndrome Phantom","Doubt creeps in: art thou truly worthy of the Ph.D.?",1,
Doctoral4,0.35,"Eternal Wait","Thou hast submitted a grant… and now thou shalt wait.",2,
Sage1,0.5,"Reviewer #2’s Curse","No matter how polished thy work, it shall never be enough!",1,
Sage2,0.4,"Accreditation Hydra","Institutional reviews multiply!",2,
Sage3,0.5,"Scheduling Sphinx","All meetings conflict with thy research hours!",1,
Sage4,0.35,"Funding Wraith","Thy proposal is praised, yet denied funding!",2,
randomPeril,0.5,"Impending Deadline Fiend","Lurks ever closer, whispering doom, yet never granting thee focus.",1,
randomPeril,0.5,"Footnote Gremlin","Scrambles citations at random, forcing thee to spend precious time in correction.",1,
randomPeril,0.5,"Coffee Chimera ☕","Promises energy but delivers anxiety, jitters, and impending doom!",1,
randomPeril,0.5,"Invisible Tangle Sprite 🌀","Moves objects just slightly out of reach, making cleanup thrice as long!",1,
randomPeril,0.5,"Scheduling Sphinx","Ensures all meetings are scheduled at the worst possible time.",1,
