id,name,description
1,"The Ever-Full Flask 🥤","Thy cup shall never run dry! Thou dost remember to hydrate more frequently!"
2,"The Cozy Cloak of Softness 🧣","Thy sensory needs are met! Thou dost gain comfort & warmth bonuses for deep relaxation."
3,"The Windborne Muse 💨","Inspiration strikes!"
4,"The Weighted Blanket of Tranquility 🛏","Thine anxieties are eased! Thou shalt fall asleep more swiftly and rest more deeply."
5,"The Arcane Spice Rack 🌿","Thy meals taste superior!"
6,"The Enchanted Candle of Focus 🕯","Boosts concentration & ambiance!"
7,"The Lavender Satchel of Peace 🌸","Repels stress! Thou dost gain a resistance against distractions & sensory overload!"
8,"The Satchel of Perpetual Order 🎒","Reduces clutter! Next organizational task takes half the effort."
9,"The Starlit Headphones 🎧","Protects thee from auditory distractions! Focus tasks are less likely to be interrupted!"
10,"The Cozy Cocoon Socks 🧦","Feet are warm, mind is at peace! Sitting still during study sessions becomes twice as easy."
