id,domainId,questArea,name,description,profession,professionId,professionXp,perilChance,entity,entityEffect,difficulty,relicChance,scholarship,relicEffect,coins,areaDesc,waitTime
2,0,"Vault of Vellum","Tome Unfurled","Read 1 paragraph of an academic text!",Artisan,1,10,0.2,"Wandering Mind Phantom","Halfway through, thou dost forget what thou read!",1,0.5,"Scholar’s Insight","Thou dost instantly make a profound connection to another field of study.",5,"Where Knowledge is Applied",0
3,0,"Scribe’s Tower","Annotation of Arcane Knowledge","Highlight or annotate 3 key points!",Artisan,1,15,0.35,"Ink Goblin","Thine highlighter is missing or has dried up!",1,0.5,"Quill of Perfect Recall","Future readings bring greater understanding, as if thou hadst read the text before.",5,"Where Knowledge is Written into Scholarly Form",0
4,0,"Scribe’s Tower","Scroll of Summarization","Write a 1-sentence summary!",Artisan,1,20,0.3,"Jargon Djinn","Thou dost struggle to phrase it simply!",1,0.5,"Scholar’s Condensed Wisdom","Future summaries come with ease, for thy mind can now grasp the heart of any text.",10,"Where Knowledge is Written into Scholarly Form",0
5,0,"Vault of Vellum","Scholar’s Sprint","Study with focus for 5 minutes!",Artisan,1,15,0.5,"Notification Gremlin","An alert, sound, or thought derails thee!",1,0.5,"Hourglass of Flow","The next deep focus session shall be effortless, for time itself bends to thy will.",5,"Where Knowledge is Applied",300
6,0,"Scribe’s Tower","First Word Ritual","Write literally any word to begin!",Artisan,1,10,0.35,"Perfectionist’s Shadow","Thou dost hesitate, doubting the worth of the first word!",1,0.5,"Inkflow Rune","The next sentence shall flow from thee as if a river, perfectly formed and without struggle.",5,"Where Knowledge is Written into Scholarly Form",0
7,0,"Scribe’s Tower","Typing Tempest","Write for 3 uninterrupted minutes!",Artisan,1,20,0.4,"Sentence Loop Curse","Thou dost keep rewriting the same phrase!",1,0.5,"Momentum Charm","Thou shalt feel a sudden surge of inspiration, giving thee power and focus for thy next writing session.",10,"Where Knowledge is Written into Scholarly Form",180
8,0,"Scribe’s Tower","Formatting Enchantment","Fix 1 citation, heading, or structure!",Artisan,1,15,0.3,"Footnote Gremlin","A missing citation throws thee into chaos!",1,0.5,"Scroll of Formatting Mastery","Future citation tasks shall be done with great speed and perfect order.",5,"Where Knowledge is Written into Scholarly Form",0
9,0,"Tribunal of Forms","Form of Minimal Doom","Complete one small section of paperwork!",Soldier,2,15,0.4,"Document Demon","A required field makes no sense!",1,0.5,"Forgotten Stamp Fairy","The next form thou submits shall vanish from thy mind, for it is already approved and filed away.",5,"Where Academics Meet to be Judged",0
10,0,"Tribunal of Forms","Calendar Conundrum","Schedule one task, meeting, or deadline!",Soldier,2,15,0.35,"Scheduling Sphinx","The best time is already taken!",1,0.5,"Timetable Trickster’s Favor","All meetings this week shall align perfectly, leaving thee with a rare abundance of time for all other tasks.",5,"Where Academics Meet to be Judged",0
11,0,"Lair of Self–Care","Goblet of Hydration","Drink a full glass of water!",Healer,3,10,,,,,0.2,,,5,"Where Scholars Refresh and Restore",0
12,0,"Lair of Self–Care","Feast of Small Victories","Eat at least one proper meal!",Healer,3,20,,,,,0.4,,,10,"Where Scholars Refresh and Restore",0
13,0,"Lair of Self–Care","Potion Brewer’s Trial","Make a cup of coffee, tea, or favourite beverage!",Healer,3,15,,,,,0.3,,,5,"Where Scholars Refresh and Restore",0
14,0,"Lair of Self–Care","Stance of the Mindful Stretch","Stretch for at least 2 minutes!",Healer,3,15,,,,,0.3,,,5,"Where Scholars Refresh and Restore",120
15,0,"Lair of Self–Care","Sprint of the Squirrel Knight","Engage in 5 minutes of movement!",Healer,3,15,,,,,0.3,,,5,"Where Scholars Refresh and Restore",300
16,0,"Lair of Self–Care","Window of the World Beyond","Look outside, name three things thou dost see",Healer,3,10,,,,,0.2,,,5,"Where Scholars Refresh and Restore",0
17,0,"Lair of Self–Care","Summoning of Fresh Air","Step outside for 2 minutes!",Healer,3,15,,,,,0.3,,,5,"Where Scholars Refresh and Restore",120
18,0,"Lair of Self–Care","Grand Pilgrimage Outdoors","Take a walk, however short!",Healer,3,30,,,,,0.6,,,10,"Where Scholars Refresh and Restore",0
19,0,"Lair of Self–Care","Illumination of the Study Keep","Adjust thy lighting to fit thy focus!",Healer,3,10,,,,,0.2,,,5,"Where Scholars Refresh and Restore",0
20,0,"Lair of Self–Care","Soundtrack of Champions","Play a focus-boosting or mood-lifting tune!",Healer,3,10,,,,,0.2,,,5,"Where Scholars Refresh and Restore",0
21,0,"Lair of Self–Care","Shield of the Sleepy Squirrel","Lie down, even if sleep evades thee!",Healer,3,20,,,,,0.4,,,10,"Where Scholars Refresh and Restore",0
22,0,"Lair of Self–Care","Dimming of the Screens","Reduce blue light exposure before sleep!",Healer,3,15,,,,,0.3,,,5,"Where Scholars Refresh and Restore",0
23,0,"Lair of Self–Care","Cozy Cocoon Ritual","Adjust blankets, pillows, and comfort to maximize relaxation!",Healer,3,15,,,,,0.3,,,5,"Where Scholars Refresh and Restore",0
24,0,"Lair of Self–Care","Book of Gentle Escape","Read or listen to something soothing before sleep!",Healer,3,15,,,,,0.3,,,5,"Where Scholars Refresh and Restore",0
25,0,"Lair of Self–Care","Whispered Gratitudes","List three small victories of the day!",Healer,3,10,,,,,0.2,,,5,"Where Scholars Refresh and Restore",0
26,0,"Lair of Self–Care","Rule of Three Objects","Put away or clean three small things!",Healer,3,15,,,,,0.3,,,5,"Where Scholars Refresh and Restore",0
27,0,"Lair of Self–Care","Time Traveler’s Sprint","Set a 5-minute timer and tidy as much as thou can!",Healer,3,20,,,,,0.4,,,10,"Where Scholars Refresh and Restore",300
28,0,"Lair of Self–Care","Organizational Arcane Sigil","Label or categorize one small area!",Healer,3,15,,,,,0.3,,,5,"Where Scholars Refresh and Restore",0
29,0,"Lair of Self–Care","Minimalist’s Trial","Declutter one item, donate or discard!",Healer,3,15,,,,,0.3,,,5,"Where Scholars Refresh and Restore",0
30,0,"Lair of Self–Care","Desk of Academic Might","Clear thy workspace before beginning studies!",Healer,3,20,,,,,0.4,,,10,"Where Scholars Refresh and Restore",0
31,0,"Chamber of Oration","Verbal Summoning","Practice explaining a concept aloud, even if none listen!",Soldier,2,15,0.35,"Tangent Djinn","Thou dost veer wildly off-topic!",1,0.5,"Tongue of Golden Speech","Thy next explanation shall be so clear, it could charm a dragon from its hoard.",5,"Where Scholars Meet to Debate",0
32,0,"Chamber of Oration","Ritual of Class Preparation","Draft one discussion question or slide!",Soldier,2,20,0.3,"Formatting Fiend","A slide layout refuses to align properly!",1,0.5,"Scholar’s Guide of Engagement","The next class thou plans shall captivate all who listen.",10,"Where Scholars Meet to Debate",0
33,0,"Chamber of Oration","Grand Seminar of Engagement","Pose a discussion question in class or online!",Soldier,2,25,0.25,"Deafening Silence of Disinterest","No student answers immediately!",1,0.5,"Amulet of Enthusiastic Discourse","All in thy next discussion shall be filled with a passion for the topic.",10,"Where Scholars Meet to Debate",0
34,4,"Scribe’s Tower","Final Scroll Begins","Write 1 sentence of the conclusion chapter!",Soldier,2,10,0.35,"Looping Sentence Curse","Thou dost rewrite the same idea five times!",1,0.5,"Inkflow Rune","The next paragraph shall flow from thee as if a river, perfectly formed and without struggle.",5,"Where Knowledge is Written into Scholarly Form",0
35,4,"Scribe’s Tower","Ultimate Citation Challenge","Check & format one reference!",Soldier,2,15,0.4,"Footnote Gremlin","A source is missing and must be found!",1,0.5,"Tome of Infinite Footnotes","Future citations shall be found without a trace of struggle.",5,"Where Knowledge is Written into Scholarly Form",0
36,4,"Scribe’s Tower","Final Data Reckoning","Analyze one result or edit a table!",Soldier,2,20,0.3,"Data Goblin","Numbers seem incorrect, requiring double-checking!",1,0.5,"Scholar’s Epiphany","A major insight strikes thee, illuminating thy path forward.",10,"Where Knowledge is Written into Scholarly Form",0
37,4,"Scribe’s Tower","Last Crusade Against Formatting","Fix one style, heading, or spacing issue!",Soldier,2,15,0.25,"Vanishing Text Demon","A section disappears mysteriously!",1,0.5,"Scroll of Perfect Formatting","Thy next document shall be edited with perfect order and speed.",5,"Where Knowledge is Written into Scholarly Form",0
38,4,"Chamber of Oration","PowerPoint Pilgrimage","Make or edit one slide!",Soldier,2,15,0.4,"Slide of Doom","A crucial figure refuses to align correctly!",1,0.5,"Amulet of Presentation Clarity","Thy next slide shall convey its message with a singular, perfect purpose.",5,"Where Scholars Meet to Debate",0
