id,domainId,questArea,areaDesc,name,description,profession,professionId,professionXp,skill1,skill2,skill3,skill4,skill5,skill6,beastiary,relic,coins,waitTime
1,1,"Hall of Marvels","Where Knowledge is Sought","Apprentice's Studies","Complete all assigned homework",Artisan,1,25,10,0,20,10,0,0,randomPeril,,5,0
2,1,"Vault of Vellum","Where Knowledge is Applied","Scholar's Notebook","Take detailed notes in a class",Artisan,1,25,20,0,0,10,0,0,randomPeril,,5,0
3,1,"Hall of Marvels","Where Knowledge is Sought","Scrolls of Knowledge","Read a chapter, article, or textbook section",Artisan,1,30,20,0,10,0,0,0,Initiate3,Initiate3,5,0
4,1,"Vault of Vellum","Where Knowledge is Applied","Essay of Beginnings","Write a 500-word essay",Artisan,1,50,10,0,0,10,0,20,Initiate3,Initiate3,10,0
5,1,"Chamber of Oration","Where Scholars Meet to Debate","Classroom Duel","Answer a teacher’s question in class",Soldier,2,25,10,20,0,0,0,0,randomPeril,,5,0
6,1,"Chamber of Oration","Where Scholars Meet to Debate","Orator's First Steps","Give a short presentation",Soldier,2,50,0,20,0,10,0,10,Initiate1,Initiate2,10,0
7,1,"Chamber of Oration","Where Scholars Meet to Debate","Fellowship of the Group Project","Survive a group project",Soldier,2,75,0,20,0,10,0,10,Initiate1,Initiate2,15,0
8,1,"The Tribunal of Forms","Where Academics Meet to be Judged","Squire's Midterm Reckoning","Prepare for and take a midterm",Soldier,2,100,20,0,0,10,10,0,Initiate4,Initiate1,25,0
9,1,"The Tribunal of Forms","Where Academics Meet to be Judged","Final Exam Gauntlet","Survive finals week",Soldier,2,300,0,0,10,0,20,10,Initiate4,Initiate1,75,0
10,1,"The Tribunal of Forms","Where Academics Meet to be Judged","Arcane Bonus Question","Answer an unexpected question correctly",Soldier,2,50,20,10,0,0,0,0,randomPeril,,10,0
11,1,"Lair of Self—Care","Where Scholars Refresh and Restore","Scholar’s Reprieve","Sleep 7+ hours",Healer,3,50,0,0,10,0,20,0,randomPeril,,10,0
12,1,"Lair of Self—Care","Where Scholars Refresh and Restore","Potion Brewing (Beginner Level)","Prepare a meal instead of instant food or takeout",Healer,3,25,0,0,10,0,20,0,Initiate2,,10,0
13,1,"Lair of Self—Care","Where Scholars Refresh and Restore","Grand Pilgrimage Outdoors","Take a walk or engage in physical activity for 30 minutes",Healer,3,30,0,0,10,0,20,0,Initiate2,,5,0
14,1,"Hall of Marvels","Where Knowledge is Sought","Scholar’s Mastery","Pass all major subjects",Artisan,1,200,10,0,10,0,0,20,randomPeril,Initiate4,50,0
15,1,"Hall of Marvels","Where Knowledge is Sought","Ceremony of Learning","Complete the academic year",Artisan,1,500,0,0,10,0,10,20,randomPeril,Initiate4,100,0
16,2,"The Vault of Vellum","Where Knowledge is Applied","Scholar’s Vigil","Attend a full week of lectures",Artisan,1,50,10,0,0,0,20,10,Collegiate1,Collegiate3,10,0
17,2,"The Hall of Marvels","Where Knowledge is Sought","Scrolls of Knowledge","Read & summarize one textbook chapter or article",Artisan,1,30,20,0,10,10,0,0,randomPeril,,5,0
18,2,"The Vault of Vellum","Where Knowledge is Applied","Scribe’s Ordeal","Complete a 1000+ word essay",Artisan,1,100,10,0,10,20,0,0,Collegiate4,Collegiate2,20,0
19,2,"The Hall of Marvels","Where Knowledge is Sought","Midnight Study Ritual","Study for 3+ hours in one session",Artisan,1,50,0,0,20,0,10,10,randomPeril,,10,0
20,2,"The Chamber of Oration","Where Scholars Meet to Debate","Seminar of Questions","Participate in class discussion",Soldier,2,25,10,20,0,0,0,10,Collegiate1,Collegiate3,5,0
21,2,"The Chamber of Oration","Where Scholars Meet to Debate","Reluctant Orator’s Trial","Give a presentation",Soldier,2,100,0,20,10,0,0,0,Collegiate2,,25,0
22,2,"The Chamber of Oration","Where Scholars Meet to Debate","Alliance of Scholars","Complete a group project without despair",Soldier,2,75,0,10,0,20,0,10,Collegiate2,,15,0
23,2,"The Tribunal of Forms","Where Academics Meet to be Judged","Grand Midterm Reckoning","Complete a midterm exam",Soldier,2,150,20,0,10,0,10,0,Collegiate3,Collegiate1,30,0
24,2,"The Tribunal of Forms","Where Academics Meet to be Judged","Final Exam Gauntlet","Survive finals week",Soldier,2,300,0,0,10,0,10,20,Collegiate3,Collegiate1,75,0
25,2,"The Tribunal of Forms","Where Academics Meet to be Judged","Arcane Bonus Question","Answer an unexpected question correctly",Soldier,2,50,20,10,0,10,0,0,randomPeril,,10,0
26,2,"Lair of Self—Care","Where Scholars Refresh and Restore","Revive the Weary Scholar","Sleep 7+ hours",Healer,3,50,0,0,10,0,10,20,randomPeril,,10,0
