domainId,PerilId,domain,entity,effect,chance,difficulty
1,1,Initiate,The Deadline Demon,A project due date approaches too quickly!,0.5,1
1,2,Initiate,The Sleep-Stealing Specter,A restless mind delays sleep!,0.4,2
1,3,Initiate,The Wi-Fi Banshee,The internet dies before a submission!,0.5,1
1,4,Initiate,The Multiple-Choice Menace,Two answers seem correctthou must guess blindly!,0.35,2
2,1,Collegiate,The Lecture Lurker,A professor cold-calls thee when unprepared!,0.5,1
2,2,Collegiate,The Group Project Ghoul,A teammate vanishes before the deadline!,0.4,2
2,3,Collegiate,The Multiple-Choice Menace,Two answers seem correctthou dost guess blindly!,0.5,1
2,4,Collegiate,The Wi-Fi Banshee,The internet dies moments before submission!,0.35,2
3,1,Pedagogue,The Lesson Lurker,A pupil asks a question on a topic thou hast not planned for.,0.5,1
3,2,Pedagogue,The Curriculum Ghoul,The textbook thou art given is too complex or too short for thy lesson.,0.4,2
3,3,Pedagogue,The Apathy Menace,The pupils fall asleep while thou art teaching!,0.5,1
3,4,Pedagogue,The Interactive Whiteboard Banshee,Thy prepared presentation glitches moments before the lesson begins!,0.35,2
4,1,Masters,Reviewer #2’s Wrath,Even the best research is not acceptable!,0.5,1
4,2,Masters,The Citation Phantom,A critical source disappears forever!,0.4,2
4,3,Masters,The Midnight Panic,A brilliant idea arrivesat 3 AM!,0.5,1
4,4,Masters,The Funding Wraith,"The proposal is praised, yet denied!",0.35,2
5,1,Doctoral,Reviewer #2’s Wrath,"No matter how perfect, it is not enough!",0.5,1
5,2,Doctoral,The Deadline Wraith,The committee pushes back thy defense date!,0.4,2
5,3,Doctoral,The Imposter Syndrome Phantom,Doubt creeps in: art thou truly worthy of the Ph.D.?,0.5,1
5,4,Doctoral,The Eternal Wait,Thou hast submitted a grant… and now thou shalt wait.,0.35,2
6,1,Sage,Reviewer #2’s Curse,"No matter how polished thy work, it shall never be enough!",0.5,1
6,2,Sage,The Accreditation Hydra,Institutional reviews multiply!,0.4,2
6,3,Sage,The Scheduling Sphinx,All meetings conflict with thy research hours!,0.5,1
6,4,Sage,The Funding Wraith,"Thy proposal is praised, yet denied funding!",0.35,2
-2,1,random peril,The Impending Deadline Fiend,"Lurks ever closer, whispering doom, yet never granting thee focus.",1,1
-2,2,random peril,The Footnote Gremlin,"Scrambles citations at random, forcing thee to spend precious time in correction.",0.5,1
-2,3,random peril,The Coffee Chimera ☕,"Promises energy but delivers anxiety, jitters, and impending doom!",0.5,1
-2,4,random peril,The Invisible Tangle Sprite 🌀,"Moves objects just slightly out of reach, making cleanup thrice as long!",0.5,1
-2,5,random peril,The Scheduling Sphinx,Ensures all meetings are scheduled at the worst possible time.,0.5,1
-2,6,random peril,The Disappearing Student,"Signs up for thy class, submits no work, and ghosts entirely.",0.5,1
-2,7,random peril,The Goblin of Perpetual Fatigue 💤,Whispers sweet nothings of “Thou art too weary to engage in self-care today…”,0.5,1
-2,8,random peril,The Sleepless Wraith,"Haunts thee with restlessness, ensuring no sleep before a deadline.",0.5,1
-2,9,random peril,The Forgotten Meal Specter,Ensures thy stomach growls but thy hands remain too busy to eat.,0.5,1
-2,10,random peril,The Pigeon of Peril,"Strikes unsuspecting scholars from above, bringing momentary humiliation.",0.5,1
-2,11,random peril,The Infinite Scroll Wraith 📱,Ensnares the scholar in an endless loop of doomscrolling instead of self-care!,0.5,1
-2,12,random peril,The Horde of Emails,"A single email begets twenty more, none with clear purpose.",0.5,1
